Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-01-02 00:00:00-05:00,7.0,7.0,7.0,7.0,0,0.0,0.0
2001-01-03 00:00:00-05:00,7.0,7.0,7.0,7.0,0,0.0,0.0
2001-01-04 00:00:00-05:00,7.0,7.0,7.0,7.0,0,0.0,0.0
2001-01-05 00:00:00-05:00,7.0,7.0,7.0,7.0,0,0.0,0.0
2001-01-08 00:00:00-05:00,5.0,5.0,5.0,5.0,100,0.0,0.0
2001-01-09 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-01-10 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-01-11 00:00:00-05:00,5.0,5.0,5.0,5.0,100,0.0,0.0
2001-01-12 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-01-16 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-01-17 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-01-18 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-01-19 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-01-22 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-01-23 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-01-24 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-01-25 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-01-26 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-01-29 00:00:00-05:00,5.0,5.0,4.0,4.0,260,0.0,0.0
2001-01-30 00:00:00-05:00,4.0,4.0,4.0,4.0,0,0.0,0.0
2001-01-31 00:00:00-05:00,4.0,4.0,4.0,4.0,0,0.0,0.0
2001-02-01 00:00:00-05:00,4.0,5.0,4.0,5.0,1020,0.0,0.0
2001-02-02 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-02-05 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-02-06 00:00:00-05:00,5.0,5.0,5.0,5.0,780,0.0,0.0
2001-02-07 00:00:00-05:00,4.5,4.5,4.5,4.5,40,0.0,0.0
2001-02-08 00:00:00-05:00,5.0,5.0,4.0,4.0,380,0.0,0.0
2001-02-09 00:00:00-05:00,4.0,4.0,4.0,4.0,0,0.0,0.0
2001-02-12 00:00:00-05:00,4.0,5.0,4.0,5.0,240,0.0,0.0
2001-02-13 00:00:00-05:00,5.0,5.0,5.0,5.0,0,0.0,0.0
2001-02-14 00:00:00-05:00,8.0,8.0,5.0,5.0,0,0.0,0.0
2001-02-15 00:00:00-05:00,4.5,4.5,4.5,4.5,100,0.0,0.0
2001-02-16 00:00:00-05:00,4.0,4.0,4.0,4.0,500,0.0,0.0
2001-02-20 00:00:00-05:00,3.5,3.5,3.5,3.5,0,0.0,0.0
2001-02-21 00:00:00-05:00,3.5,3.5,3.5,3.5,0,0.0,0.0
2001-02-22 00:00:00-05:00,3.5,3.5,3.5,3.5,0,0.0,0.0
2001-02-23 00:00:00-05:00,3.5,3.5,3.5,3.5,0,0.0,0.0
2001-02-26 00:00:00-05:00,3.5,3.5,3.5,3.5,0,0.0,0.0
2001-02-27 00:00:00-05:00,3.5,3.5,3.5,3.5,0,0.0,0.0
2001-02-28 00:00:00-05:00,3.5,3.5,3.5,3.5,0,0.0,0.0
2001-03-01 00:00:00-05:00,7.0,7.0,7.0,7.0,20,0.0,0.0
