Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,39.913144846822085,40.56325035882154,39.810497295055185,39.99868392944336,27913900,0.0,0.0
2015-01-05 00:00:00-05:00,39.66508831878938,39.97303432554665,39.56244073757288,39.63087463378906,39673900,0.0,0.0
2015-01-06 00:00:00-05:00,39.67365049834883,39.9901491609254,38.95511078931803,39.0492057800293,36447900,0.0,0.0
2015-01-07 00:00:00-05:00,39.33149420485003,39.74208792824616,38.912347873159945,39.545345306396484,29114100,0.0,0.0
2015-01-08 00:00:00-05:00,39.990147155613755,40.84555137284614,39.96448607329138,40.70868682861328,29645200,0.0,0.0
2015-01-09 00:00:00-05:00,40.72580290719267,40.90543704319949,40.118466582726555,40.36653137207031,23944200,0.0,0.0
2015-01-12 00:00:00-05:00,40.56327056325048,40.66592142925426,39.656544088642946,39.861839294433594,23651900,0.0,0.0
2015-01-13 00:00:00-05:00,40.178325415402846,40.98240397048916,39.399907935158566,39.65652847290039,35270600,0.0,0.0
2015-01-14 00:00:00-05:00,39.31438064575195,39.553896067452705,39.02354305470052,39.31438064575195,29719600,0.0,0.0
2015-01-15 00:00:00-05:00,39.53679405299878,39.6736586321544,38.84391528552466,38.90379333496094,32750800,0.0,0.0
2015-01-16 00:00:00-05:00,38.75836408969195,39.58810391508497,38.63860476496695,39.553890228271484,35695300,0.0,0.0
2015-01-20 00:00:00-05:00,39.60521487489863,39.904608310833325,38.980770183640296,39.68220138549805,36161900,0.0,0.0
2015-01-21 00:00:00-05:00,39.297278921100116,39.468360462254,38.90379366062248,39.28017044067383,39081100,0.0,0.0
2015-01-22 00:00:00-05:00,39.673655164508176,40.32376104289811,39.417034508909744,40.315208435058594,35898000,0.0,0.0
2015-01-23 00:00:00-05:00,40.51194421140921,40.537605293706996,40.032916675499095,40.35797119140625,26211600,0.0,0.0
2015-01-26 00:00:00-05:00,40.204002324360616,40.31520579765155,39.55389648850038,40.212554931640625,42525500,0.0,0.0
2015-01-27 00:00:00-05:00,36.73961849703521,36.95346959042528,36.02107869272024,36.49155044555664,169164000,0.0,0.0
